# num lines	# mcdc coverage	# branch coverage	# num trans	# trans with more than 2 conds
1	0.0	0.0	1	0
2	0.0	0.0	2	1
3	0.0	0.0	3	2
30	0.0	0.0	4	2
33	0.0	0.0	5	2
196	0.0	0.0	6	2
258	3.7037037037037035	3.7037037037037035	6	2
1450	3.7037037037037035	3.7037037037037035	7	3
4437	3.7037037037037035	3.7037037037037035	8	3
4438	7.407407407407407	7.407407407407407	8	3
4574	7.407407407407407	11.11111111111111	8	3
4578	7.407407407407407	11.11111111111111	9	3
9905	7.407407407407407	11.11111111111111	10	3
9906	11.11111111111111	14.814814814814814	10	3
9916	11.11111111111111	14.814814814814814	11	3
9917	11.11111111111111	14.814814814814814	12	3
15849	11.11111111111111	14.814814814814814	13	3
15870	11.11111111111111	14.814814814814814	14	3
15871	11.11111111111111	14.814814814814814	15	4
41834	14.814814814814814	18.518518518518517	15	4
41835	14.814814814814814	22.22222222222222	15	4
70143	14.814814814814814	22.22222222222222	16	5
70144	14.814814814814814	22.22222222222222	17	6
70145	14.814814814814814	22.22222222222222	18	7
121232	18.518518518518517	22.22222222222222	18	7
474479	18.518518518518517	22.22222222222222	19	7
474480	22.22222222222222	25.925925925925924	19	7
474490	22.22222222222222	25.925925925925924	20	7
474491	22.22222222222222	25.925925925925924	21	7
628015	22.22222222222222	25.925925925925924	22	7
628028	22.22222222222222	25.925925925925924	23	7
628029	22.22222222222222	25.925925925925924	24	8
628096	25.925925925925924	29.62962962962963	24	8
628097	29.62962962962963	33.33333333333333	24	8
941772	33.33333333333333	37.037037037037035	24	8
941773	33.33333333333333	40.74074074074074	24	8
1154134	33.33333333333333	40.74074074074074	25	9
1154135	33.33333333333333	40.74074074074074	26	10
1154136	33.33333333333333	40.74074074074074	27	11
1496703	37.037037037037035	40.74074074074074	27	11
2281466	37.037037037037035	40.74074074074074	27	11
